time,Wind speed 100 Hz,RH,Air temperature,Leaf Wetness,Soil conductivity_25cm,Soil conductivity_15cm,Soil conductivity_5cm,Soil temperature_25cm,Soil temperature_15cm,Soil temperature_5cm,Soil moisture_25cm,Soil moisture_15cm,Soil moisture_5cm,Precipitation,Pyranometer
2022-07-27 19:30:00+03:00,0.689678,39.05165,31.49233,0,1451.825,1694.537,2262.674,27.45287,31.86114,36.34594,11.79726,9.957501,1.779641,0,77.24879
2022-07-27 19:40:00+03:00,0.309488,39.36828,31.05745,0,1452.601,1692.92,2251.483,27.59703,31.91823,35.64259,11.78839,9.951291,1.794715,0,63.89715
2022-07-27 19:50:00+03:00,0.655661,40.81407,30.59968,0,1454.597,1694.722,2229.252,27.67492,31.88018,34.98881,11.78248,9.94819,1.805528,0,62.56199
2022-07-27 20:00:00+03:00,0.003335,41.76394,30.2678,0,1454.177,1693.37,2229.252,27.68074,31.83559,34.39915,11.78839,9.954395,1.820733,0,40.05493
2022-07-27 20:10:00+03:00,0,42.21027,29.56969,0,1453.753,1693.37,2218.21,27.70087,31.68235,33.85754,11.79134,9.954395,1.833826,0,18.6923
2022-07-27 20:20:00+03:00,0,45.70077,28.84108,0,1452.965,1690.142,2213.495,27.75863,31.72047,33.27848,11.80021,9.963706,1.843682,0,12.58869
2022-07-27 20:30:00+03:00,0,46.20813,28.34516,0,1454.943,1692.572,2199.399,27.75018,31.6568,32.71491,11.78839,9.935788,1.859076,0,12.97017
2022-07-27 20:40:00+03:00,0,46.71931,28.14297,0,1455.32,1694.816,2188.498,27.88844,31.63739,32.21933,11.78839,9.938886,1.864593,0,9.727627
2022-07-27 20:50:00+03:00,0,47.53567,27.65469,0,1454.53,1690.959,2186.943,27.86833,31.52263,31.65674,11.7943,9.941986,1.881202,0,5.14992
2022-07-27 21:00:00+03:00,0,47.98199,27.25414,0,1452.894,1691.588,2176.094,27.8742,31.49065,31.25982,11.80613,9.932685,1.929299,0,2.670329
2022-07-27 21:10:00+03:00,0,50,26.64378,0,1453.265,1690.426,2171.462,27.90603,31.34387,30.86958,11.80909,9.926491,1.948514,0,1.525902
2022-07-27 21:20:00+03:00,0,51.7319,25.85413,0,1456.487,1689.978,2163.758,27.94624,31.3246,30.5207,11.80021,9.941986,1.906838,0,1.335164
2022-07-27 21:30:00+03:00,0,52.60167,25.40398,0,1455.278,1691.5,2159.148,28.07608,31.3246,30.02952,11.80021,9.926491,1.915804,0,1.335164
2022-07-27 21:40:00+03:00,0.068701,55.4284,24.97673,0,1456.862,1689.177,2151.485,28.09615,31.17144,29.71307,11.79726,9.941986,1.919172,0,1.335164
2022-07-27 21:50:00+03:00,0.49358,53.76898,24.89662,0,1456.459,1689.801,2139.275,28.05599,31.12039,29.31918,11.80021,9.932685,1.932682,0,1.335164
2022-07-27 22:00:00+03:00,0.3335,53.54391,24.65248,0,1456.459,1688.196,2134.716,28.11621,30.96722,29.04428,11.80317,9.941986,1.938327,0,1.335164
2022-07-27 22:10:00+03:00,0.794397,54.84092,24.5037,0,1455.652,1688.373,2131.679,28.11621,30.91617,28.77796,11.80613,9.929589,1.998776,0,1.335164
