timestamp,soil-bulk-ec0-uS/cm,soil-moisture0-%,soil-temperature0-C
2022-05-25 10:32:59.975000+00:00,82.0,11.44,25.2
2022-05-25 10:38:10.978000+00:00,82.0,11.44,25.3
2022-05-25 10:42:55.978000+00:00,81.0,11.42,25.5
2022-05-25 10:47:34.988000+00:00,83.0,11.43,25.5
2022-05-25 10:52:39.807000+00:00,83.0,11.43,25.7
2022-05-25 10:57:35.991000+00:00,82.0,11.44,25.8
2022-05-25 11:02:16.990000+00:00,83.0,11.43,25.9
2022-05-25 11:07:36.798000+00:00,83.0,11.45,26.0
2022-05-25 11:12:22.812000+00:00,82.0,11.43,26.2
2022-05-25 11:17:13.994000+00:00,83.0,11.41,26.3
2022-05-25 11:22:23.812000+00:00,82.0,11.42,26.4
2022-05-25 11:27:24.812000+00:00,82.0,11.43,26.6
2022-05-25 11:32:35.813000+00:00,84.0,11.41,26.7
2022-05-25 11:37:49.999000+00:00,83.0,11.41,26.8
2022-05-25 11:43:04.013000+00:00,84.0,11.41,26.9
2022-05-25 11:47:53.003000+00:00,84.0,11.42,27.0
2022-05-25 11:52:44.815000+00:00,83.0,11.41,27.1
2022-05-25 11:57:50.008000+00:00,83.0,11.42,27.2
2022-05-25 12:02:40.006000+00:00,82.0,11.42,27.3
2022-05-25 12:07:32.014000+00:00,84.0,11.43,27.4
2022-05-25 12:12:42.823000+00:00,83.0,11.41,27.6
2022-05-25 12:17:56.016000+00:00,83.0,11.43,27.6
2022-05-25 12:22:42.821000+00:00,83.0,11.41,27.8
2022-05-25 12:27:37.020000+00:00,83.0,11.41,27.9
2022-05-25 12:32:24.020000+00:00,85.0,11.42,27.9
2022-05-25 12:37:39.824000+00:00,83.0,11.41,28.1
2022-05-25 12:42:53.822000+00:00,83.0,11.4,28.1
2022-05-25 12:48:14.006000+00:00,83.0,11.4,28.3
2022-05-25 12:53:10.005000+00:00,82.0,11.39,28.4
2022-05-25 12:57:44.822000+00:00,83.0,11.4,28.5
2022-05-25 13:02:57.877000+00:00,84.0,11.41,28.5
2022-05-25 13:07:47.825000+00:00,83.0,11.4,28.6
2022-05-25 13:12:51.008000+00:00,84.0,11.4,28.7
